Country,Indicator Name,2018,2019,2020,2021,2022
Ethiopia,People using at least basic sanitation services (% of population),8.349923038,8.652039161,8.953537513,9.254780256,9.336216099
Kenya,People using at least basic sanitation services (% of population),34.89064174,35.29579479,35.70381994,36.11475567,36.52872003
Nigeria,People using at least basic sanitation services (% of population),42.22626064,43.27675278,44.35114641,45.44915489,46.57067508
